lat,lon,year,coverage,source
33.745000,-120.405000,2011,1.000000,calcofi
33.748333,-120.425000,2011,1.000000,calcofi
33.748333,-120.420000,2011,1.000000,calcofi
33.823333,-118.631667,2011,1.000000,calcofi
33.823333,-118.630000,2011,1.000000,calcofi
33.871667,-120.133333,2011,1.000000,calcofi
33.878333,-120.133333,2011,1.000000,calcofi
33.885000,-118.490000,2011,1.000000,calcofi
33.888333,-118.441667,2011,1.000000,calcofi
33.890000,-118.490000,2011,1.000000,calcofi
34.011667,-118.845000,2011,1.000000,calcofi
34.175000,-119.513333,2011,1.000000,calcofi
34.178333,-119.508333,2011,1.000000,calcofi
34.226667,-119.410000,2011,1.000000,calcofi
34.235000,-119.386667,2011,1.000000,calcofi
34.258333,-119.325000,2011,1.000000,calcofi
34.258333,-119.323333,2011,1.000000,calcofi
34.268333,-120.021667,2011,1.000000,calcofi
34.275000,-120.025000,2011,1.000000,calcofi
34.276667,-120.030000,2011,1.000000,calcofi
34.318333,-120.803333,2011,1.000000,calcofi
34.403333,-119.800000,2011,1.000000,calcofi
34.448333,-120.525000,2011,1.000000,calcofi
34.451667,-120.525000,2011,1.000000,calcofi
34.453333,-120.528333,2011,1.000000,calcofi
34.460000,-120.486667,2011,1.000000,calcofi
32.060855,-120.854062,2011,2.445957,corc
32.128093,-120.509372,2011,2.382630,corc
32.250815,-119.381995,2011,2.548807,corc
32.260550,-119.388227,2011,1.899408,corc
32.314990,-118.797893,2011,1.859151,corc
32.364973,-118.719965,2011,1.874863,corc
32.406575,-118.661683,2011,2.909337,corc
32.435525,-118.624955,2011,2.707177,corc
32.533183,-118.448313,2011,2.703300,corc
32.586430,-118.334750,2011,2.591421,corc
32.678438,-118.217988,2011,2.731188,corc
32.724013,-118.155043,2011,2.689458,corc
32.740507,-117.812385,2011,2.808410,corc
32.745945,-118.092632,2011,1.869559,corc
32.028000,-119.680000,2012,1.316667,argo
32.028000,-119.680000,2012,1.100000,argo
32.028000,-119.680000,2012,2.066667,argo
32.028000,-119.680000,2012,1.500000,argo
32.028000,-119.680000,2012,1.010000,argo
32.028000,-119.680000,2012,1.130000,argo
32.028000,-119.680000,2012,1.080000,argo
32.028000,-119.680000,2012,1.160000,argo
32.028000,-119.680000,2012,1.113333,argo
32.028000,-119.680000,2012,1.163333,argo
32.028000,-119.680000,2012,1.136667,argo
32.028000,-119.680000,2012,1.233333,argo
32.028000,-119.680000,2012,1.073333,argo
32.028000,-119.680000,2012,1.113333,argo
32.028000,-119.680000,2012,1.023333,argo
32.028000,-119.680000,2012,1.096667,argo
32.028000,-119.680000,2012,1.213333,argo
32.028000,-119.680000,2012,1.666667,argo
32.028000,-119.680000,2012,1.533333,argo
32.028000,-119.680000,2012,1.130000,argo
32.028000,-119.680000,2012,1.126667,argo
32.028000,-119.680000,2012,1.180000,argo
32.028000,-119.680000,2012,1.053333,argo
32.028000,-119.680000,2012,1.160000,argo
32.028000,-119.680000,2012,1.146667,argo
32.028000,-119.680000,2012,1.130000,argo
32.028000,-119.680000,2012,2.000000,argo
32.028000,-119.680000,2012,1.333333,argo
32.028000,-119.680000,2012,1.106667,argo
32.028000,-119.680000,2012,1.193333,argo
32.265000,-120.807000,2012,1.016667,argo
32.265000,-120.807000,2012,1.533333,argo
32.265000,-120.807000,2012,1.050000,argo
32.265000,-120.807000,2012,1.566667,argo
32.265000,-120.807000,2012,1.080000,argo
32.265000,-120.807000,2012,1.800000,argo
32.265000,-120.807000,2012,1.063333,argo
32.265000,-120.807000,2012,1.633333,argo
32.265000,-120.807000,2012,1.500000,argo
32.265000,-120.807000,2012,1.180000,argo
32.265000,-120.807000,2012,1.033333,argo
32.265000,-120.807000,2012,1.433333,argo
32.265000,-120.807000,2012,1.080000,argo
32.265000,-120.807000,2012,1.106667,argo
32.265000,-120.807000,2012,1.016667,argo
32.265000,-120.807000,2012,1.666667,argo
32.265000,-120.807000,2012,1.073333,argo
32.265000,-120.807000,2012,1.046667,argo
32.265000,-120.807000,2012,1.220000,argo
32.265000,-120.807000,2012,1.001333,argo
32.265000,-120.807000,2012,1.043333,argo
32.265000,-120.807000,2012,1.226667,argo
32.265000,-120.807000,2012,1.096667,argo
32.265000,-120.807000,2012,1.093333,argo
32.011667,-119.228333,2012,1.000000,calcofi
32.014080,-119.235000,2012,1.000000,calcofi
32.083333,-120.641667,2012,1.000000,calcofi
32.178333,-118.885000,2012,1.000000,calcofi
32.180000,-118.900000,2012,1.000000,calcofi
32.180520,-118.891480,2012,1.000000,calcofi
32.345000,-118.548333,2012,1.000000,calcofi
32.415000,-119.961667,2012,1.000000,calcofi
32.417520,-119.962520,2012,1.000000,calcofi
32.515000,-118.218333,2012,1.000000,calcofi
32.521667,-118.210000,2012,1.000000,calcofi
32.653333,-119.486667,2012,1.000000,calcofi
32.686667,-117.870000,2012,1.000000,calcofi
32.686667,-117.870000,2012,1.000000,calcofi
32.843333,-117.533333,2012,1.000000,calcofi
32.916400,-117.391420,2012,1.000000,calcofi
32.916667,-117.395000,2012,1.000000,calcofi
32.918333,-117.396667,2012,1.000000,calcofi
32.950000,-117.310000,2012,1.000000,calcofi
32.956667,-117.306667,2012,1.000000,calcofi
32.956667,-117.303333,2012,1.000000,calcofi
32.986667,-120.343333,2012,1.000000,calcofi
33.155000,-120.010000,2012,1.000000,calcofi
33.156300,-120.005880,2012,1.000000,calcofi
33.185000,-118.391667,2012,1.000000,calcofi
33.246180,-117.465420,2012,1.000000,calcofi
33.251667,-118.250000,2012,1.000000,calcofi
33.323333,-119.663333,2012,1.000000,calcofi
33.328333,-119.660000,2012,1.000000,calcofi
33.413080,-117.909330,2012,1.000000,calcofi
33.418333,-117.908333,2012,1.000000,calcofi
33.420000,-117.901667,2012,1.000000,calcofi
33.485000,-117.770000,2012,1.000000,calcofi
33.485000,-117.765000,2012,1.000000,calcofi
33.490000,-119.315000,2012,1.000000,calcofi
33.492500,-119.323830,2012,1.000000,calcofi
33.493333,-119.310000,2012,1.000000,calcofi
33.495000,-117.751667,2012,1.000000,calcofi
33.495000,-117.748333,2012,1.000000,calcofi
33.573333,-120.755000,2012,1.000000,calcofi
33.575000,-120.756667,2012,1.000000,calcofi
33.656667,-118.975000,2012,1.000000,calcofi
33.658333,-118.976667,2012,1.000000,calcofi
33.663333,-118.961667,2012,1.000000,calcofi
33.673800,-118.095370,2012,1.000000,calcofi
33.676667,-118.085000,2012,1.000000,calcofi
33.735000,-120.408333,2012,1.000000,calcofi
33.747000,-120.414870,2012,1.000000,calcofi
33.821667,-118.630000,2012,1.000000,calcofi
33.878333,-120.135000,2012,1.000000,calcofi
33.878333,-120.125000,2012,1.000000,calcofi
33.881667,-118.508333,2012,1.000000,calcofi
33.888333,-118.443333,2012,1.000000,calcofi
33.890000,-118.490000,2012,1.000000,calcofi
33.891667,-118.491667,2012,1.000000,calcofi
34.010270,-118.835520,2012,1.000000,calcofi
34.011667,-118.833333,2012,1.000000,calcofi
34.173333,-119.511667,2012,1.000000,calcofi
34.180000,-119.505000,2012,1.000000,calcofi
34.256667,-119.323333,2012,1.000000,calcofi
34.259230,-119.326420,2012,1.000000,calcofi
34.272400,-120.025730,2012,1.000000,calcofi
34.275000,-120.025000,2012,1.000000,calcofi
34.311667,-120.818333,2012,1.000000,calcofi
34.402200,-119.801400,2012,1.000000,calcofi
34.448220,-120.525470,2012,1.000000,calcofi
34.448333,-120.530000,2012,1.000000,calcofi
32.100532,-120.561935,2012,1.929312,corc
32.101175,-120.558045,2012,2.384841,corc
32.119523,-120.507965,2012,1.798245,corc
32.167595,-120.239378,2012,2.359100,corc
32.206482,-118.810700,2012,3.046481,corc
32.237448,-119.289523,2012,1.763278,corc
32.242843,-118.896130,2012,3.012195,corc
32.243400,-119.407867,2012,1.807406,corc
32.262595,-118.960430,2012,2.093166,corc
32.267330,-118.888312,2012,2.883471,corc
32.267443,-119.370205,2012,1.937542,corc
32.267525,-119.021330,2012,1.965923,corc
32.269485,-119.760328,2012,1.893535,corc
32.272028,-118.945120,2012,2.796772,corc
32.277600,-118.976512,2012,2.918515,corc
32.277815,-118.942640,2012,2.863111,corc
32.280248,-118.796868,2012,3.043173,corc
32.281115,-118.943412,2012,3.403177,corc
32.287390,-119.022423,2012,2.781783,corc
32.291215,-118.988850,2012,2.768764,corc
32.296357,-119.020850,2012,2.946238,corc
32.297963,-120.283775,2012,2.598787,corc
32.300800,-119.029867,2012,2.954961,corc
32.301133,-119.021883,2012,3.471614,corc
32.301820,-119.028752,2012,3.341142,corc
32.302708,-119.029390,2012,3.381966,corc
32.304315,-118.530755,2012,3.325176,corc
32.304600,-119.026788,2012,3.359755,corc
32.307783,-118.803265,2012,2.847887,corc
32.308503,-118.509298,2012,3.342570,corc
32.310775,-118.622938,2012,3.219159,corc
32.331735,-118.953255,2012,3.311770,corc
32.341153,-119.854845,2012,2.797957,corc
32.417837,-118.623067,2012,2.673603,corc
32.487295,-118.516478,2012,2.823773,corc
32.498082,-118.490905,2012,2.380401,corc
32.542350,-118.404435,2012,2.015146,corc
32.598173,-118.296395,2012,2.695605,corc
32.692585,-118.104692,2012,3.583158,corc
32.708798,-118.176942,2012,3.122848,corc
32.740562,-118.138053,2012,2.628375,corc
32.742945,-118.118505,2012,2.070220,corc
32.747585,-117.382892,2012,2.110335,corc
32.751127,-117.438128,2012,2.507600,corc
32.758000,-118.032107,2012,3.205074,corc
32.766103,-118.043270,2012,2.705949,corc
32.789578,-117.940458,2012,3.209627,corc
32.805535,-117.901685,2012,2.574806,corc
32.822992,-117.761825,2012,3.279727,corc
32.834992,-117.854910,2012,2.707539,corc
32.859398,-117.437517,2012,2.512148,corc
32.877463,-117.284395,2012,2.417698,corc
32.878483,-117.431905,2012,2.528742,corc
32.883370,-117.288173,2012,2.493438,corc
32.893635,-117.297310,2012,2.899538,corc
32.894030,-117.300502,2012,2.927695,corc
32.900488,-117.313083,2012,2.807708,corc
32.901925,-117.519810,2012,3.268618,corc
32.905232,-117.647633,2012,3.633268,corc
32.925492,-117.375908,2012,3.301814,corc
32.947237,-117.617622,2012,3.536551,corc
32.971833,-120.439738,2012,2.880840,corc
33.644485,-120.837770,2012,2.590316,corc
33.664372,-120.827298,2012,2.390306,corc
33.780932,-120.923680,2012,2.247469,corc
33.802790,-120.920123,2012,2.591852,corc
34.048623,-120.801923,2012,2.104672,corc
34.076332,-120.136400,2012,1.934890,corc
34.082510,-120.154972,2012,1.930290,corc
34.088710,-120.176547,2012,1.869719,corc
34.090315,-120.264102,2012,1.829762,corc
34.134847,-120.382850,2012,2.037096,corc
34.296278,-120.827670,2012,2.081550,corc
34.309188,-120.825383,2012,2.059131,corc
34.311127,-120.836555,2012,2.732656,corc
34.315773,-120.833385,2012,1.859497,corc
34.335030,-120.828423,2012,2.154777,corc
34.342597,-120.832295,2012,2.162113,corc
34.343637,-120.826105,2012,2.274131,corc
34.356448,-120.844207,2012,2.568826,corc
34.360895,-120.846050,2012,2.613600,corc
34.361665,-120.845377,2012,2.069457,corc
34.364947,-120.854120,2012,2.130991,corc
34.367668,-120.862452,2012,2.401600,corc
34.369217,-120.870442,2012,2.412084,corc
34.370248,-120.867632,2012,2.684090,corc
34.371023,-120.882053,2012,2.865040,corc
34.375125,-120.855010,2012,2.325236,corc
